v8-version,7,1,302,31,0
code-creation,Builtin,3,3000,0x7ff6df57f280,1384,RecordWrite
code-creation,Builtin,3,3000,0x7ff6df57f800,44,AdaptorWithExitFrame
code-creation,Builtin,3,3000,0x7ff6df57f840,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3000,0x7ff6df57f880,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3000,0x7ff6df57f980,172,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3000,0x7ff6df57fa40,229,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3000,0x7ff6df57fb40,254,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3000,0x7ff6df57fc40,130,CallBoundFunction
code-creation,Builtin,3,3000,0x7ff6df57fce0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3000,0x7ff6df57fd60,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3000,0x7ff6df57fde0,105,Call_ReceiverIsAny
code-creation,Builtin,3,3000,0x7ff6df57fe60,964,CallProxy
code-creation,Builtin,3,3000,0x7ff6df580240,78,CallVarargs
code-creation,Builtin,3,3000,0x7ff6df5802a0,1344,CallWithSpread
code-creation,Builtin,3,3000,0x7ff6df580800,952,CallWithArrayLike
code-creation,Builtin,3,3000,0x7ff6df580bc0,103,CallForwardVarargs
code-creation,Builtin,3,3000,0x7ff6df580c40,103,CallFunctionForwardVarargs
code-creation,Builtin,3,3000,0x7ff6df580cc0,26,ConstructFunction
code-creation,Builtin,3,3000,0x7ff6df580ce0,130,ConstructBoundFunction
code-creation,Builtin,3,3000,0x7ff6df580d80,28,ConstructedNonConstructable
code-creation,Builtin,3,3000,0x7ff6df580da0,86,Construct
code-creation,Builtin,3,3000,0x7ff6df580e00,78,ConstructVarargs
code-creation,Builtin,3,3000,0x7ff6df580e60,1368,ConstructWithSpread
code-creation,Builtin,3,3000,0x7ff6df5813c0,1032,ConstructWithArrayLike
code-creation,Builtin,3,3000,0x7ff6df5817e0,142,ConstructForwardVarargs
code-creation,Builtin,3,3000,0x7ff6df581880,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3000,0x7ff6df581920,288,JSConstructStubGeneric
code-creation,Builtin,3,3000,0x7ff6df581a60,164,JSBuiltinsConstructStub
code-creation,Builtin,3,3000,0x7ff6df581b20,685,FastNewObject
code-creation,Builtin,3,3000,0x7ff6df581de0,327,FastNewClosure
code-creation,Builtin,3,3000,0x7ff6df581f40,227,FastNewFunctionContextEval
